Challenge Date,IP Address,User Agent,Country,Challenge Type
Sat Jun 22 08:13:40 UTC 2024,2a01:9700:1f9f:8e00:b0bb:e736:d286:7437,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.952 samsung_SM-A336E:android_14,Hashemite Kingdom of Jordan,ID_VERIFICATION_CHALLENGE
Sat Jun 22 08:13:50 UTC 2024,2a01:9700:1f9f:8e00:b0bb:e736:d286:7437,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.952 samsung_SM-A336E:android_14,Hashemite Kingdom of Jordan,ID_VERIFICATION_CHALLENGE
Sat Jun 22 08:14:10 UTC 2024,2a01:9700:1f9f:8e00:b0bb:e736:d286:7437,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.952 samsung_SM-A336E:android_14,Hashemite Kingdom of Jordan,CAPTCHA_CHALLENGE
Sat Jun 22 08:14:10 UTC 2024,2a01:9700:1f9f:8e00:b0bb:e736:d286:7437,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.952 samsung_SM-A336E:android_14,Hashemite Kingdom of Jordan,CAPTCHA_CHALLENGE
Sat Jun 22 08:14:10 UTC 2024,2a01:9700:1f9f:8e00:b0bb:e736:d286:7437,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.952 samsung_SM-A336E:android_14,Hashemite Kingdom of Jordan,CAPTCHA_CHALLENGE
Sat Jun 22 08:14:10 UTC 2024,2a01:9700:1f9f:8e00:b0bb:e736:d286:7437,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.952 samsung_SM-A336E:android_14,Hashemite Kingdom of Jordan,CAPTCHA_CHALLENGE
Sat Jun 22 08:14:20 UTC 2024,2a01:9700:1f9f:8e00:b0bb:e736:d286:7437,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.952 samsung_SM-A336E:android_14,Hashemite Kingdom of Jordan,CAPTCHA_CHALLENGE
Sat Jun 22 08:14:23 UTC 2024,2a01:9700:1f9f:8e00:b0bb:e736:d286:7437,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.952 samsung_SM-A336E:android_14,Hashemite Kingdom of Jordan,ID_VERIFICATION_CHALLENGE
Sat Jun 22 08:14:23 UTC 2024,2a01:9700:1f9f:8e00:b0bb:e736:d286:7437,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.952 samsung_SM-A336E:android_14,Hashemite Kingdom of Jordan,ID_VERIFICATION_CHALLENGE
Sat Jun 22 08:14:46 UTC 2024,2a01:9700:1f9f:8e00:b0bb:e736:d286:7437,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.952 samsung_SM-A336E:android_14,Hashemite Kingdom of Jordan,ID_VERIFICATION_CHALLENGE
Sat Jun 22 08:14:46 UTC 2024,2a01:9700:1f9f:8e00:b0bb:e736:d286:7437,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.952 samsung_SM-A336E:android_14,Hashemite Kingdom of Jordan,ID_VERIFICATION_CHALLENGE
Sat Jun 22 08:14:55 UTC 2024,2a01:9700:1f9f:8e00:b0bb:e736:d286:7437,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.952 samsung_SM-A336E:android_14,Hashemite Kingdom of Jordan,CAPTCHA_CHALLENGE
Sat Jun 22 08:15:01 UTC 2024,2a01:9700:1f9f:8e00:b0bb:e736:d286:7437,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.952 samsung_SM-A336E:android_14,Hashemite Kingdom of Jordan,CAPTCHA_CHALLENGE
Sat Jun 22 08:15:01 UTC 2024,2a01:9700:1f9f:8e00:b0bb:e736:d286:7437,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.952 samsung_SM-A336E:android_14,Hashemite Kingdom of Jordan,CAPTCHA_CHALLENGE
Sat Jun 22 08:15:10 UTC 2024,2a01:9700:1f9f:8e00:b0bb:e736:d286:7437,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.952 samsung_SM-A336E:android_14,Hashemite Kingdom of Jordan,CAPTCHA_CHALLENGE
Sat Jun 22 08:15:13 UTC 2024,2a01:9700:1f9f:8e00:b0bb:e736:d286:7437,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.952 samsung_SM-A336E:android_14,Hashemite Kingdom of Jordan,ID_VERIFICATION_CHALLENGE
Sat Jun 22 08:15:13 UTC 2024,2a01:9700:1f9f:8e00:b0bb:e736:d286:7437,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.952 samsung_SM-A336E:android_14,Hashemite Kingdom of Jordan,ID_VERIFICATION_CHALLENGE
Sat Jun 22 08:15:20 UTC 2024,2a01:9700:1f9f:8e00:b0bb:e736:d286:7437,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.952 samsung_SM-A336E:android_14,Hashemite Kingdom of Jordan,ID_VERIFICATION_CHALLENGE
